(1379,385)
(1402,420)
(1390,517)
(1436,560)
(1449,585)
(1417,483)
(1400,473)
1053,277
1076,411
1101,283
1147,250
703,306
856,234
(995,253)
1193,111
1248,207
1224,209
1250,197
1238,244
1117,207
1130,164
1240,636
1257,627
1381,521
1394,573
1396,484
1410,435
1404,559
1428,608
1440,627
1442,631
1428,521
1423,422
1383,454
1376,524
1363,537
1355,592
1345,626
1403,505
1399,444
1251,378
1105,363
750,346
563,325
399,320
301,321
276,322
153,342
70,360
7,376
925,580
1310,567
1283,535
1214,529
1174,487
1399,552
1426,528
1405,427
1394,501
1430,563
1453,485
1449,391
1466,350
945,569
1235,288
1409,437
1423,474
1423,474
1455,467
1261,566
1297,557
1355,514
1363,456
1461,431
1403,457
1295,552
1315,612
1315,610
1333,562
1379,540
1337,525
1320,376
1291,433
1297,541
1423,479
1460,438
1539,425
1573,425
1603,426
1638,424
1348,470
1325,364
1346,389
1361,386
1386,469
1441,410
1423,262
1316,254
1190,248
1190,248
1184,260
1300,373
1168,808
830,662
716,815
639,836
819,655
891,615
1156,252
1276,269
1344,268
1344,268
1396,285
938,334
879,606
1183,337
1354,278
1329,513
1311,430
1284,289
1190,171
1122,168
820,335
492,703
379,710
329,700
235,460
205,260
1220,174
1148,243
26,42
62,86
86,107
86,137
86,168
85,198
38,179
30,124
252,194
1112,21
1112,7
97,37
55,36
1120,28
1120,28
1119,28
1119,28
1119,28
1117,28
1115,123
1106,119
1298,329
1280,316
1291,234
1321,348
1279,317
1269,337
1270,292
1292,305
1300,304
1155,322
1148,282
1151,257
1091,111
1301,342
1258,311
1045,182
1367,368
1257,236
1257,236
1274,257
1277,268
1310,331
1340,353
1303,378
1319,458
1081,418
1365,503
1308,331
1340,351
1353,393
1411,461
1352,393
1352,393
1320,409
1332,446
1374,465
1387,454
1419,424
1397,420
1378,501
1370,531
1357,544
1380,560
1383,545
1406,534
1418,526
1425,492
1422,444
1424,545
1437,555
1434,584
1413,590
1382,704
1390,702
1399,702
1399,702
1408,704
1372,704
1381,576
1357,586
1339,597
1360,604
1394,609
1416,610
1465,577
1453,562
1455,538
1449,501
1435,465
1431,427
1412,414
1391,410
1346,485
1378,518
1356,551
1347,590
1353,536
1367,514
1327,608
1349,615
1391,619
1416,624
1463,587
1474,575
1464,556
1457,521
1450,486
1439,469
1432,432
1401,417
1398,413
1402,391
1397,374
1383,376
1394,408
1416,396
1419,378
1405,366
1703,123
1394,421
1411,423
1403,444
1390,458
1380,701
1387,699
1392,699
1402,701
1346,563
1349,591
1379,594
1419,573
1438,579
1419,612
1464,578
1438,516
1433,475
1417,441
1403,410
1375,444
1372,464
1364,494
1359,514
1359,537
1348,544
1344,580
1342,596
1328,601
1353,607
1398,602
1412,583
1461,583
1466,557
1457,533
1447,506
1431,483
1441,470
1427,442
1398,484
1405,491
1391,500
1411,512
1390,544
1412,531
1383,528
1406,509
1383,574
1402,585
1377,609
1336,592
1349,545
1368,501
1388,451
1471,588
1474,579
1407,614
1370,609
1331,603
1346,548
1361,531
1403,540
1429,538
1421,502
1425,482
1413,466
1402,453
1394,432
1395,414
1410,556
1424,552
1444,544
1444,521
1366,560
1361,569
1387,607
1375,557
1758,283
1373,504
1407,533
1402,553
1378,558
1369,572
1354,594
1377,604
1416,604
1411,615
1393,614
1363,614
1340,604
1329,592
1340,575
1341,556
1351,538
1362,523
1362,503
1370,486
1379,464
1384,454
1377,438
1389,422
1400,409
1410,417
1415,437
1426,459
1432,482
1381,699
1387,697
1395,696
1400,698
1444,559
1455,585
1384,702
1389,703
1397,700
1417,537
1401,580
1417,597
1444,575
1462,572
1453,548
1455,538
1447,521
1446,500
1439,478
1434,467
1403,493
1417,499
1394,500
1392,481
1393,466
1398,463
1414,458
1405,447
1396,429
1397,526
1377,525
1393,558
1389,576
1364,595
1347,604
1328,599
1379,611
1406,616
1425,604
1427,584
1439,576
1450,557
1457,562
1411,577
1417,564
1428,537
1437,521
1435,493
1409,508
1382,532
1362,514
1392,440
1389,434
1405,408
1393,415
1399,618
1367,606
1384,588
1403,590
1327,601
